Date,Time,Ticker,Open,High,Low,Close,Candle Range,Candle Signal
06-30-2025,11:30,NUE,131.6,131.66,130.74,130.74,0.92,No Signal
06-30-2025,11:30,STLD,129.88,130.23,129.56,129.56,0.67,Bearish Wick
06-30-2025,11:30,AEM,118.06,118.55,118.06,118.2,0.49,No Signal
06-30-2025,11:30,FCX,43.62,43.74,43.51,43.57,0.23,No Signal
06-30-2025,11:30,AA,29.3,29.41,29.27,29.28,0.14,Bearish Wick
06-30-2025,11:30,APD,282.14,283.32,282.04,283.21,1.28,No Signal
06-30-2025,11:30,DD,68.25,68.57,68.25,68.48,0.32,No Signal
06-30-2025,11:30,ECL,267.51,268.8,267.47,268.77,1.33,No Signal
06-30-2025,11:30,LIN,468.11,469.65,468.07,469.31,1.58,No Signal
06-30-2025,11:30,SHW,342.04,343.04,341.84,342.76,1.2,No Signal
06-30-2025,11:30,DOW,26.67,26.83,26.67,26.75,0.16,No Signal
06-30-2025,11:30,DASH,243.77,244.67,243.3,244.59,1.37,No Signal
06-30-2025,11:30,GOOG,177.33,178.71,177.32,178.44,1.39,No Signal
06-30-2025,11:30,GOOGL,176.63,177.97,176.63,177.71,1.34,No Signal
06-30-2025,11:30,META,740.55,743.47,739.88,741.0,3.59,No Signal
06-30-2025,11:30,SPOT,765.0,770.02,763.64,768.95,6.38,No Signal
06-30-2025,11:30,Z,68.98,69.79,68.93,69.72,0.86,No Signal
06-30-2025,11:30,DIS,123.21,123.99,123.19,123.81,0.8,No Signal
06-30-2025,11:30,NFLX,1332.88,1337.04,1332.24,1335.3,4.8,No Signal
06-30-2025,11:30,ROKU,88.05,88.72,87.97,88.67,0.75,No Signal
06-30-2025,11:30,RBLX,103.69,103.81,103.06,103.68,0.75,No Signal
06-30-2025,11:30,AMZN,219.66,220.01,219.12,219.87,0.89,No Signal
06-30-2025,11:30,W,51.54,51.94,51.43,51.87,0.51,No Signal
06-30-2025,11:30,DHI,128.73,129.17,128.44,129.09,0.73,No Signal
06-30-2025,11:30,KBH,52.68,53.03,52.49,53.0,0.54,No Signal
06-30-2025,11:30,LEN,110.33,111.08,110.17,110.96,0.91,No Signal
06-30-2025,11:30,PHM,105.39,106.03,105.24,106.02,0.79,No Signal
06-30-2025,11:30,TOL,113.96,114.8,113.77,114.71,1.03,No Signal
06-30-2025,11:30,ABNB,132.37,132.81,132.33,132.81,0.48,No Signal
06-30-2025,11:30,CCL,27.74,27.88,27.73,27.85,0.15,No Signal
06-30-2025,11:30,NCLH,20.08,20.15,20.05,20.13,0.1,No Signal
06-30-2025,11:30,RCL,312.54,314.17,311.79,311.96,2.38,Bearish Wick
06-30-2025,11:30,HLT,264.79,264.83,263.6,263.92,1.23,No Signal
06-30-2025,11:30,MAR,272.34,272.5,271.39,272.0,1.11,No Signal
06-30-2025,11:30,CZR,28.27,28.44,28.25,28.29,0.19,No Signal
06-30-2025,11:30,DKNG,42.74,42.85,42.65,42.7,0.19,No Signal
06-30-2025,11:30,MGM,34.22,34.38,34.15,34.22,0.23,No Signal
06-30-2025,11:30,TJX,122.69,122.87,122.59,122.86,0.28,No Signal
06-30-2025,11:30,CROX,101.32,101.53,101.09,101.47,0.44,Bullish Wick
06-30-2025,11:30,NKE,71.27,71.58,71.1,71.28,0.48,No Signal
06-30-2025,11:30,TSCO,52.4,52.61,52.34,52.59,0.27,No Signal
06-30-2025,11:30,LOW,220.25,221.01,220.01,220.99,1.01,No Signal
06-30-2025,11:30,HD,366.57,367.16,366.07,367.13,1.09,Bullish Wick
06-30-2025,11:30,CMG,56.14,56.28,56.11,56.13,0.17,Bearish Wick
06-30-2025,11:30,MCD,292.44,292.77,291.81,292.65,0.96,Bullish Wick
06-30-2025,11:30,CVNA,328.59,331.65,328.39,331.2,3.26,No Signal
06-30-2025,11:30,GM,49.08,49.17,49.03,49.11,0.14,No Signal
06-30-2025,11:30,TSLA,320.86,321.35,319.51,319.8,1.84,No Signal
06-30-2025,11:30,WMT,96.64,96.84,96.58,96.77,0.26,No Signal
06-30-2025,11:30,PG,158.56,159.21,158.56,158.71,0.65,No Signal
06-30-2025,11:30,CVX,143.55,143.58,143.07,143.13,0.51,No Signal
06-30-2025,11:30,XOM,108.24,108.37,108.07,108.07,0.3,Bearish Wick
06-30-2025,11:30,COP,89.93,89.96,89.58,89.65,0.38,No Signal
