Ticker,Date,Open,Time,Close,High,Low,Candle Range,Candle Signal
NUE,06-30-2025,130.83,8:30-12:30,130.74,131.88,130.45,1.4300000000000068,No Signal
STLD,06-30-2025,130.41,8:30-12:30,129.56,130.71,129.01,1.700000000000017,No Signal
AEM,06-30-2025,116.68,8:30-12:30,118.2,118.55,115.4,3.1499999999999915,Bullish Wick
FCX,06-30-2025,43.6,8:30-12:30,43.57,43.93,43.1,0.8299999999999983,No Signal
AA,06-30-2025,29.15,8:30-12:30,29.28,29.6,29.03,0.5700000000000003,No Signal
APD,06-30-2025,281.13,8:30-12:30,283.21,283.32,278.1,5.21999999999997,Bullish Wick
DD,06-30-2025,68.61,8:30-12:30,68.48,68.82,67.73,1.0899999999999892,No Signal
ECL,06-30-2025,266.44,8:30-12:30,268.77,268.8,264.98,3.819999999999993,No Signal
LIN,06-30-2025,466.2,8:30-12:30,469.31,469.65,463.71,5.939999999999998,Bullish Wick
SHW,06-30-2025,345.21,8:30-12:30,342.76,345.74,341.0,4.740000000000009,No Signal
DOW,06-30-2025,26.9,8:30-12:30,26.75,26.92,26.38,0.5400000000000027,No Signal
DASH,06-30-2025,244.02,8:30-12:30,244.59,244.86,241.96,2.9000000000000057,Bullish Wick
GOOG,06-30-2025,180.53,8:30-12:30,178.44,181.55,176.32,5.230000000000018,No Signal
GOOGL,06-30-2025,180.18,8:30-12:30,177.71,181.22,175.53,5.689999999999998,No Signal
META,06-30-2025,744.12,8:30-12:30,741.0,747.9,737.54,10.360000000000014,No Signal
SPOT,06-30-2025,776.99,8:30-12:30,768.95,778.33,750.28,28.050000000000068,No Signal
Z,06-30-2025,70.25,8:30-12:30,69.72,70.36,68.93,1.4299999999999926,No Signal
DIS,06-30-2025,124.31,8:30-12:30,123.81,124.69,123.18,1.509999999999991,No Signal
NFLX,06-30-2025,1331.0,8:30-12:30,1335.3,1337.04,1321.21,15.829999999999927,Bullish Wick
ROKU,06-30-2025,88.62,8:30-12:30,88.67,89.06,87.1,1.960000000000008,No Signal
RBLX,06-30-2025,105.79,8:30-12:30,103.68,105.92,103.06,2.8599999999999994,No Signal
AMZN,06-30-2025,223.52,8:30-12:30,219.87,223.82,219.12,4.699999999999989,No Signal
W,06-30-2025,51.69,8:30-12:30,51.87,52.16,50.8,1.3599999999999994,No Signal
DHI,06-30-2025,128.81,8:30-12:30,129.09,129.33,127.79,1.5400000000000063,No Signal
KBH,06-30-2025,52.91,8:30-12:30,53.0,53.03,52.12,0.9100000000000037,Bullish Wick
LEN,06-30-2025,110.37,8:30-12:30,110.96,111.08,109.37,1.7099999999999937,Bullish Wick
PHM,06-30-2025,105.96,8:30-12:30,106.02,106.36,104.26,2.0999999999999943,No Signal
TOL,06-30-2025,114.71,8:30-12:30,114.71,114.89,113.25,1.6400000000000006,Bullish Wick
ABNB,06-30-2025,135.06,8:30-12:30,132.81,135.06,131.95,3.1100000000000136,No Signal
CCL,06-30-2025,27.36,8:30-12:30,27.85,27.88,27.18,0.6999999999999993,No Signal
NCLH,06-30-2025,20.19,8:30-12:30,20.13,20.44,20.05,0.39000000000000057,No Signal
RCL,06-30-2025,309.0,8:30-12:30,311.96,314.17,306.75,7.420000000000016,No Signal
HLT,06-30-2025,265.61,8:30-12:30,263.92,266.69,262.74,3.9499999999999886,No Signal
MAR,06-30-2025,274.5,8:30-12:30,272.0,275.8,270.52,5.28000000000003,No Signal
CZR,06-30-2025,28.78,8:30-12:30,28.29,28.8,28.14,0.6600000000000001,No Signal
DKNG,06-30-2025,43.15,8:30-12:30,42.7,43.59,42.32,1.2700000000000031,No Signal
MGM,06-30-2025,34.44,8:30-12:30,34.22,34.75,34.15,0.6000000000000014,Bearish Wick
TJX,06-30-2025,123.99,8:30-12:30,122.86,123.99,122.26,1.7299999999999898,No Signal
CROX,06-30-2025,103.75,8:30-12:30,101.47,104.02,100.71,3.3100000000000023,No Signal
NKE,06-30-2025,71.14,8:30-12:30,71.28,71.71,70.06,1.6499999999999915,No Signal
TSCO,06-30-2025,51.71,8:30-12:30,52.59,52.61,51.28,1.3299999999999983,No Signal
LOW,06-30-2025,224.07,8:30-12:30,220.99,224.84,219.65,5.189999999999998,No Signal
HD,06-30-2025,369.28,8:30-12:30,367.13,370.95,364.78,6.170000000000016,No Signal
CMG,06-30-2025,55.01,8:30-12:30,56.13,56.28,55.01,1.2700000000000031,No Signal
MCD,06-30-2025,292.02,8:30-12:30,292.65,293.58,290.99,2.589999999999975,No Signal
CVNA,06-30-2025,323.0,8:30-12:30,331.2,336.25,323.0,13.25,No Signal
