Ticker,Date,Open,Time,Close,High,Low,Candle Range,Candle Signal
NUE,06-30-2025,130.83,08:30-11:30,131.6,131.88,130.45,1.4300000000000068,No Signal
STLD,06-30-2025,130.41,08:30-11:30,129.89,130.71,129.01,1.700000000000017,No Signal
AEM,06-30-2025,116.68,08:30-11:30,118.1,118.13,115.4,2.7299999999999898,Bullish Wick
FCX,06-30-2025,43.6,08:30-11:30,43.62,43.93,43.1,0.8299999999999983,No Signal
AA,06-30-2025,29.15,08:30-11:30,29.3,29.6,29.03,0.5700000000000003,No Signal
APD,06-30-2025,281.13,08:30-11:30,282.29,282.86,278.1,4.759999999999991,Bullish Wick
DD,06-30-2025,68.61,08:30-11:30,68.23,68.82,67.73,1.0899999999999892,No Signal
ECL,06-30-2025,266.44,08:30-11:30,267.56,268.08,264.98,3.099999999999966,No Signal
LIN,06-30-2025,466.2,08:30-11:30,468.34,468.73,463.71,5.020000000000039,Bullish Wick
SHW,06-30-2025,345.21,08:30-11:30,341.89,345.74,341.0,4.740000000000009,No Signal
DOW,06-30-2025,26.9,08:30-11:30,26.67,26.92,26.38,0.5400000000000027,No Signal
DASH,06-30-2025,244.02,08:30-11:30,243.82,244.86,241.96,2.9000000000000057,No Signal
GOOG,06-30-2025,180.53,08:30-11:30,177.33,181.55,176.32,5.230000000000018,No Signal
GOOGL,06-30-2025,180.18,08:30-11:30,176.65,181.22,175.53,5.689999999999998,No Signal
META,06-30-2025,744.12,08:30-11:30,740.59,747.9,737.54,10.360000000000014,No Signal
SPOT,06-30-2025,776.99,08:30-11:30,765.0,778.33,750.28,28.050000000000068,No Signal
Z,06-30-2025,70.25,08:30-11:30,68.99,70.36,68.96,1.4000000000000057,No Signal
DIS,06-30-2025,124.31,08:30-11:30,123.22,124.69,123.18,1.509999999999991,No Signal
NFLX,06-30-2025,1331.0,08:30-11:30,1333.18,1335.5,1321.21,14.289999999999964,No Signal
ROKU,06-30-2025,88.62,08:30-11:30,88.06,89.06,87.1,1.960000000000008,No Signal
RBLX,06-30-2025,105.79,08:30-11:30,103.69,105.92,103.35,2.5700000000000074,No Signal
AMZN,06-30-2025,223.52,08:30-11:30,219.66,223.82,219.59,4.22999999999999,No Signal
W,06-30-2025,51.69,08:30-11:30,51.55,52.16,50.8,1.3599999999999994,No Signal
DHI,06-30-2025,128.94,08:30-11:30,128.74,129.33,127.79,1.5400000000000063,No Signal
KBH,06-30-2025,52.91,08:30-11:30,52.7,52.97,52.12,0.8500000000000014,No Signal
LEN,06-30-2025,110.37,08:30-11:30,110.36,110.69,109.37,1.3199999999999932,No Signal
PHM,06-30-2025,105.96,08:30-11:30,105.51,106.36,104.26,2.0999999999999943,No Signal
TOL,06-30-2025,114.71,08:30-11:30,114.03,114.89,113.25,1.6400000000000006,No Signal
ABNB,06-30-2025,135.06,08:30-11:30,132.39,135.06,131.95,3.1100000000000136,No Signal
CCL,06-30-2025,27.36,08:30-11:30,27.74,27.8,27.18,0.620000000000001,No Signal
NCLH,06-30-2025,20.19,08:30-11:30,20.08,20.44,20.06,0.38000000000000256,Bearish Wick
RCL,06-30-2025,309.0,08:30-11:30,312.66,313.49,306.75,6.740000000000009,No Signal
HLT,06-30-2025,265.61,08:30-11:30,264.73,266.69,262.74,3.9499999999999886,No Signal
MAR,06-30-2025,274.5,08:30-11:30,272.34,275.8,270.52,5.28000000000003,No Signal
CZR,06-30-2025,28.78,08:30-11:30,28.28,28.8,28.14,0.6600000000000001,No Signal
DKNG,06-30-2025,43.15,08:30-11:30,42.74,43.59,42.32,1.2700000000000031,No Signal
MGM,06-30-2025,34.44,08:30-11:30,34.22,34.75,34.21,0.5399999999999991,Bearish Wick
TJX,06-30-2025,123.99,08:30-11:30,122.71,123.99,122.26,1.7299999999999898,No Signal
CROX,06-30-2025,103.75,08:30-11:30,101.32,104.02,100.71,3.3100000000000023,No Signal
NKE,06-30-2025,71.14,08:30-11:30,71.27,71.71,70.06,1.6499999999999915,No Signal
TSCO,06-30-2025,51.71,08:30-11:30,52.4,52.47,51.28,1.1899999999999977,No Signal
LOW,06-30-2025,224.07,08:30-11:30,220.26,224.84,219.65,5.189999999999998,No Signal
HD,06-30-2025,369.28,08:30-11:30,366.57,370.95,364.78,6.170000000000016,No Signal
CMG,06-30-2025,55.01,08:30-11:30,56.14,56.17,55.01,1.1600000000000037,No Signal
MCD,06-30-2025,292.02,08:30-11:30,292.36,293.58,290.99,2.589999999999975,No Signal
CVNA,06-30-2025,323.0,08:30-11:30,328.35,336.25,323.0,13.25,No Signal
GM,06-30-2025,49.58,08:30-11:30,49.08,49.62,49.02,0.5999999999999943,No Signal
TSLA,06-30-2025,323.93,08:30-11:30,320.9,325.58,317.81,7.769999999999982,No Signal
WMT,06-30-2025,97.23,08:30-11:30,96.65,97.9,96.31,1.5900000000000034,No Signal
PG,06-30-2025,159.26,08:30-11:30,158.56,159.9,158.3,1.5999999999999943,No Signal
CVX,06-30-2025,143.04,08:30-11:30,143.55,144.1,142.4,1.6999999999999886,No Signal
XOM,06-30-2025,108.64,08:30-11:30,108.24,108.84,108.09,0.75,No Signal
COP,06-30-2025,89.51,08:30-11:30,89.93,90.19,89.1,1.0900000000000034,No Signal
OXY,06-30-2025,42.39,08:30-11:30,42.17,42.44,41.98,0.46000000000000085,No Signal
HAL,06-30-2025,20.57,08:30-11:30,20.61,20.74,20.38,0.35999999999999943,No Signal
SLB,06-30-2025,33.9,08:30-11:30,33.94,34.2,33.76,0.44000000000000483,No Signal
BAC,06-30-2025,47.62,08:30-11:30,47.28,47.62,47.27,0.3499999999999943,No Signal
JPM,06-30-2025,290.4,08:30-11:30,291.49,292.31,289.38,2.930000000000007,No Signal
AXP,06-30-2025,318.58,08:30-11:30,319.05,320.13,317.59,2.5400000000000205,No Signal
MA,06-30-2025,552.5,08:30-11:30,557.28,557.91,551.9,6.009999999999991,No Signal
PYPL,06-30-2025,73.95,08:30-11:30,74.18,74.54,73.68,0.8599999999999994,No Signal
SYF,06-30-2025,66.72,08:30-11:30,66.96,67.04,66.35,0.6900000000000119,Bullish Wick
UPST,06-30-2025,64.65,08:30-11:30,65.38,66.61,64.64,1.9699999999999989,No Signal
V,06-30-2025,349.35,08:30-11:30,353.65,353.75,349.06,4.689999999999998,No Signal
TFC,06-30-2025,42.89,08:30-11:30,43.15,43.24,42.75,0.490000000000002,No Signal
GS,06-30-2025,714.27,08:30-11:30,706.29,714.3,702.95,11.349999999999909,No Signal
HOOD,06-30-2025,85.64,08:30-11:30,91.9,92.35,85.5,6.849999999999994,No Signal
MS,06-30-2025,141.51,08:30-11:30,140.02,141.85,139.62,2.2299999999999898,No Signal
SCHW,06-30-2025,90.25,08:30-11:30,90.64,91.09,90.11,0.980000000000004,No Signal
COIN,06-30-2025,359.23,08:30-11:30,353.2,360.45,349.7,10.75,No Signal
XYZ,06-30-2025,67.14,08:30-11:30,68.24,68.34,67.06,1.2800000000000011,No Signal
LLY,06-30-2025,778.54,08:30-11:30,779.33,783.0,774.0,9.0,No Signal
MRK,06-30-2025,79.25,08:30-11:30,78.64,79.39,78.38,1.0100000000000051,No Signal
UNH,06-30-2025,308.99,08:30-11:30,310.27,311.62,306.34,5.28000000000003,No Signal
MDT,06-30-2025,86.65,08:30-11:30,86.8,87.38,86.18,1.1999999999999886,No Signal
BA,06-30-2025,213.88,08:30-11:30,209.6,214.71,209.45,5.260000000000019,No Signal
GE,06-30-2025,256.3,08:30-11:30,257.44,257.89,253.87,4.019999999999982,Bullish Wick
CSX,06-30-2025,32.78,08:30-11:30,32.6,32.81,32.57,0.240000000000002,No Signal
CAT,06-30-2025,386.31,08:30-11:30,387.62,388.7,384.81,3.8899999999999864,No Signal
UPS,06-30-2025,101.16,08:30-11:30,100.44,101.27,100.28,0.9899999999999949,No Signal
HON,06-30-2025,228.62,08:30-11:30,231.38,231.79,228.32,3.469999999999999,No Signal
MMM,06-30-2025,152.28,08:30-11:30,151.68,152.4,151.18,1.2199999999999989,No Signal
FAST,06-30-2025,41.93,08:30-11:30,41.88,42.12,41.79,0.3299999999999983,No Signal
DAL,06-30-2025,49.82,08:30-11:30,49.12,50.0,48.62,1.3800000000000026,No Signal
LUV,06-30-2025,32.4,08:30-11:30,32.08,32.51,32.03,0.4799999999999969,No Signal
UAL,06-30-2025,80.02,08:30-11:30,79.2,80.04,79.01,1.0300000000000011,No Signal
AMD,06-30-2025,144.0,08:30-11:30,142.92,144.1,141.01,3.0900000000000034,No Signal
ARM,06-30-2025,166.53,08:30-11:30,163.42,168.3,162.53,5.77000000000001,No Signal
AVGO,06-30-2025,274.73,08:30-11:30,275.64,277.7,272.13,5.569999999999993,No Signal
MCHP,06-30-2025,70.56,08:30-11:30,70.4,70.77,69.5,1.269999999999996,No Signal
MRVL,06-30-2025,78.43,08:30-11:30,77.2,78.44,76.71,1.730000000000004,No Signal
