Stock,Earnings Date,Sector,Industry
DAL,07/10/2025,Industrials,Airlines
JBHT,07/14/2025,Industrials,Integrated Freight and Logistics
BLK,07/14/2025,Financials,Asset Management
FAST,07/14/2025,Industrials,Industrial Distribution
WFC,07/15/2025,Financials,Banks Diversified
C,07/15/2025,Financials,Banks Diversified
STT,07/15/2025,Financials,Asset Management
ELV,07/15/2025,Healthcare,Healthcare Plans
UAL,07/15/2025,Industrials,Airlines
JPM,07/15/2025,Financials,Banks Diversified
EFX,07/15/2025,Industrials,Consulting Services
INFY,07/15/2025,Technology,Information Technology
CCI,07/15/2025,Real Estate,Real Estate
BK,07/15/2025,Financials,Banks Diversified
PLD,07/16/2025,Real Estate,Real Estate
ASML,07/16/2025,Technology,Semiconductors Equipment and Materials
AA,07/16/2025,Basic Materials,Aluminum
JNJ,07/16/2025,Healthcare,Drug Manufacturers - General
GS,07/16/2025,Financials,Capital Markets
MS,07/16/2025,Financials,Capital Markets
PPG,07/16/2025,Basic Materials,Specialty Chemicals
PNC,07/16/2025,Financials,Banks Regional
BAC,07/16/2025,Financials,Banks Diversified
CTAS,07/16/2025,Industrials,Specialty Business Services
PEP,07/17/2025,Consumer Defensive,Beverages
CFG,07/17/2025,Financials,Banks Regional
MMC,07/17/2025,Financials,Insurance Brokers
SCCO,07/17/2025,Basic Materials,Copper
TSM,07/17/2025,Technology,Semiconductors
USB,07/17/2025,Financials,Banks Regional
ABT,07/17/2025,Healthcare,Medical Devices
TRV,07/17/2025,Financials,Insurance Propery and Casualty
NFLX,07/17/2025,Communication Services,Entertainment
TFC,07/18/2025,Financials,Banks Regional
HBAN,07/18/2025,Healthcare,Banks Regional
SCHW,07/18/2025,Financials,Capital Markets
RF,07/18/2025,Financials,Banks Regional
AXP,07/18/2025,Financials,Credit Services
SLB,07/18/2025,Energy,Oil and Gas Equipment and Services
BRO,07/21/2025,Financials,Insurance Brokers
NXPI,07/21/2025,Technology,Semiconductors
PCAR,07/21/2025,Industrials,Farm and Heavy Construction Machinery
RTX,07/21/2025,Industrials,Aerospace and Defense
DPZ,07/21/2025,Consumer Cyclical,Restaurants
GPC,07/21/2025,Consumer Cyclical,Auto Parts
GOOGL,07/21/2025,Communication Services,Internet Content and Information
GOOG,07/21/2025,Communication Services,Internet Content and Information
TSLA,07/21/2025,Consumer Cyclical,Auto Manufacturers
CDNS,07/21/2025,Technology,Software Application
CB,07/21/2025,Financials,Insurance Propery and Casualty
TEL,07/21/2025,Technology,Electronic Components
VZ,07/21/2025,Communication Services,Telecom Services
CLF,07/21/2025,Basic Materials,Steel
SHW,07/21/2025,Basic Materials,Specialty Chemicals
LMT,07/21/2025,Industrials,Aerospace and Defense
STLD,07/21/2025,Basic Materials,Steel
ONB,07/21/2025,Financials,Banks Regional
V,07/21/2025,Financials,Credit Services
TXN,07/21/2025,Technology,Semiconductors
MCO,07/21/2025,Financials,Financial Data and Stock Exchanges
CSTM,07/21/2025,Basic Materials,Unknown
FCX,07/21/2025,Basic Materials,Copper
SYF,07/22/2025,Financials,Credit Services
KLAC,07/22/2025,Technology,Semiconductors Equipment and Materials
LVS,07/22/2025,Consumer Cyclical,Resorts/Casinos/Gambling
