ticker,m_max_macd,m_min_macd,w_max_macd,w_min_macd,d_max_macd,d_min_macd,m_last_macd,w_last_macd,d_last_macd,daily_overbought_score,weekly_overbought_score,monthly_overbought_score,total_overbought_score
C,26.8988,-71.0646,5.4249,-6.4352,3.2583,-7.9672,8.5188,3.6025,3.2583,100.0,66.41,31.67,66.03
SEZL,32.9611,-0.0839,31.4294,-0.1497,19.122,-3.8933,32.9611,31.4294,19.122,100.0,100.0,100.0,100.0
FLEX,6.6311,-1.7836,3.0895,-1.3992,2.5208,-2.3416,6.6311,3.0895,2.5208,100.0,100.0,100.0,100.0
HOOD,16.15,-7.1731,11.7035,-6.7068,7.6923,-3.9898,16.15,11.7035,7.6923,100.0,100.0,100.0,100.0
JBL,26.0278,-3.7009,17.7164,-5.4335,14.6228,-7.6,26.0278,17.7164,14.6228,100.0,100.0,100.0,100.0
STT,8.4673,-6.2092,5.6493,-5.8706,3.6406,-6.4796,8.4673,3.6287,3.6406,100.0,64.23,100.0,88.08
LRCX,12.6812,-0.5517,8.1731,-4.1879,4.1025,-6.7238,5.8892,4.3394,4.1025,100.0,53.09,46.44,66.51
ORCL,25.5886,-0.2282,15.3713,-7.1962,15.7816,-8.0429,25.5886,14.1838,15.7816,100.0,92.27,100.0,97.42
TSM,27.9964,-2.7166,17.1043,-8.3267,9.6497,-9.496,27.8264,9.8677,9.6497,100.0,57.69,99.39,85.69
JPM,34.2453,-2.3637,16.0442,-8.3068,8.5017,-10.7758,34.2453,12.0511,8.5017,100.0,75.11,100.0,91.7
RCL,50.0232,-14.0006,26.1488,-22.3581,19.1785,-21.789,50.0232,22.5658,19.1785,100.0,86.3,100.0,95.43
GS,83.3435,-17.1977,41.8019,-16.2231,31.4278,-27.0215,83.3435,31.2743,31.4278,100.0,74.82,100.0,91.61
TXN,20.28,-2.6235,10.1109,-9.2729,7.5221,-9.3961,9.0522,5.2106,7.5061,99.79,51.53,44.64,65.32
CSCO,5.1938,-1.5407,3.2076,-2.9444,1.6954,-2.4801,5.1938,2.6616,1.6906,99.72,82.98,100.0,94.23
BAC,4.5907,-6.8177,3.1949,-2.6433,1.4114,-2.9197,3.608,1.1928,1.3534,95.89,37.33,78.59,70.61
CAT,45.1911,-5.907,27.3847,-16.8103,13.8653,-14.9715,30.9327,6.4158,13.1776,95.04,23.43,68.45,62.31
XLC,9.9667,-3.8489,4.4331,-4.58,2.0761,-3.4151,9.9667,2.8806,1.9501,93.93,64.98,100.0,86.3
TD,6.8561,-1.5207,4.3671,-3.3474,2.0379,-3.923,3.44,4.1162,1.87,91.76,94.25,50.17,78.73
DASH,33.0272,-27.9511,16.4569,-25.4621,10.0983,-14.2424,33.0272,16.0305,9.249,91.59,97.41,100.0,96.33
SMH,33.996,-1.8894,21.9991,-11.3802,11.2827,-12.0591,26.4924,9.0185,10.2488,90.84,40.99,77.93,69.92
COIN,38.7624,-63.5864,39.9093,-46.7274,33.6648,-25.6705,38.7624,22.0939,30.296,89.99,55.36,100.0,81.78
AXP,37.712,-7.4715,18.3395,-9.2269,10.1117,-12.8305,35.1557,8.5954,9.0019,89.02,46.87,93.22,76.37
KLAC,118.8706,-4.1408,64.932,-25.9447,39.756,-27.9491,88.4393,47.4737,34.8459,87.65,73.11,74.4,78.39
RF,2.1808,-3.8768,1.8441,-1.3513,0.8793,-1.5986,1.3931,0.2027,0.7635,86.83,10.99,63.88,53.9
CTVA,7.2205,-0.1498,4.1288,-2.6393,2.179,-1.7958,5.2284,4.1288,1.8832,86.42,100.0,72.41,86.28
EMR,10.191,-2.0938,6.3697,-4.9396,5.5388,-6.714,9.8501,4.3066,4.7653,86.03,67.61,96.65,83.43
CASY,60.6514,-0.2279,25.7257,-5.1843,16.9835,-10.242,60.6514,25.7257,14.5877,85.89,100.0,100.0,95.3
CFG,4.543,-2.5848,3.5838,-3.5752,1.943,-4.0908,3.2224,0.5817,1.6651,85.7,16.23,70.93,57.62
